BW1,BW2,DL1,DL2,PL1,PL2,MPSNR
0.21 ,0.21 ,80,53,4.6 ,3.5 ,43.2020 
0.82 ,0.24 ,273,516,2.2 ,3.0 ,49.6868 
0.83 ,0.22 ,33,489,2.0 ,4.2 ,41.5446 
0.27 ,0.27 ,420,288,4.4 ,4.5 ,48.4302 
0.70 ,0.38 ,337,87,1.7 ,2.8 ,60.2525 
0.46 ,0.42 ,374,479,4.8 ,3.7 ,57.8957 
0.78 ,0.59 ,51,84,3.6 ,1.2 ,75.6206 
0.50 ,0.75 ,101,254,1.7 ,2.0 ,75.9773 
0.99 ,0.87 ,347,325,0.3 ,3.2 ,74.4954 
0.85 ,0.86 ,175,11,4.1 ,3.9 ,52.6496 
0.66 ,0.72 ,250,377,0.4 ,0.6 ,93.7135 
0.30 ,0.90 ,460,376,1.7 ,4.6 ,48.3749 
0.58 ,0.73 ,333,486,0.5 ,4.1 ,75.1741 
0.25 ,0.59 ,584,573,0.6 ,1.3 ,56.1170 
0.64 ,0.40 ,43,292,1.4 ,1.6 ,62.5477 
0.58 ,0.26 ,59,86,3.6 ,1.0 ,54.2331 
0.27 ,0.36 ,597,4,1.1 ,1.8 ,61.9623 
0.73 ,0.69 ,269,204,3.3 ,0.2 ,78.9891 
0.55 ,0.29 ,46,257,1.0 ,3.9 ,58.3796 
0.52 ,0.59 ,309,440,1.8 ,3.9 ,68.8059 
0.96 ,0.69 ,15,221,0.2 ,1.8 ,82.2064 
0.75 ,0.52 ,41,298,3.0 ,3.9 ,59.4097 
0.71 ,0.93 ,291,330,3.2 ,2.6 ,73.1879 
0.84 ,0.31 ,44,457,1.0 ,4.8 ,66.3470 
0.98 ,0.21 ,421,320,4.9 ,0.9 ,39.4968 
0.29 ,0.53 ,340,558,3.0 ,3.5 ,52.2068 
0.74 ,0.46 ,64,327,3.8 ,2.4 ,62.3691 
0.60 ,0.57 ,571,450,0.7 ,2.3 ,83.2502 
0.35 ,0.47 ,467,547,2.1 ,3.3 ,56.3901 
0.90 ,0.39 ,546,44,3.7 ,3.6 ,49.3911 
0.34 ,0.83 ,538,541,0.7 ,0.8 ,84.1633 
